所属区,市区,小区,户型,朝向,楼层,装修情况,面积,价格(万元),单价,年份,房型
青羊,人民公园,锦里西路127号 ,4室2厅,南,中楼层(共8层),简装,168.2平米,368,"21,879元/平",2000年建,板楼
龙泉驿,大面,华润国际社区 ,3室1厅,东南,低楼层(共39层),精装,70.36平米,128,"18,193元/平",2016年建,板塔结合
高新西,高新西,成都合院一期 ,1室1厅,西南,高楼层(共18层),精装,39.99平米,48.8,"12,204元/平",2011年建,板塔结合
温江,温江新城,格凌兰 ,2室1厅,北,低楼层(共26层),简装,67.14平米,91,"13,554元/平",2016年建,板塔结合
锦江,三圣乡,华韵天府 ,4室2厅,东南,低楼层(共39层),精装,85.94平米,255,"29,672元/平",2013年建,板塔结合
锦江,琉璃场,天悦龙庭 ,3室2厅,南,低楼层(共27层),精装,115.13平米,248,"21,541元/平",2014年建,板楼
成华,理工大,理想城 ,3室1厅,西北,低楼层(共32层),精装,66.69平米,175,"26,241元/平",2017年建,塔楼
成华,理工大,富临理宫 ,1室2厅,北,中楼层(共32层),精装,55.34平米,95,"17,167元/平",2015年建,板楼
成华,驷马桥,北回归线一期 ,3室2厅,西南,中楼层(共22层),简装,90.94平米,135,"14,845元/平",2009年建,板塔结合
武侯,广福桥,新巢小区二期 ,1室1厅,南,中楼层(共7层),精装,52.76平米,77,"14,595元/平",2005年建,板楼
新都,大丰,博雅新城A区 ,3室1厅,东,低楼层(共27层),精装,104.89平米,118,"11,250元/平",2013年建,塔楼
高新西,中海国际,橙郡二期 ,3室2厅,西南,高楼层(共17层),精装,89.02平米,138,"15,503元/平",2009年建,板楼
龙泉驿,阳光城,林溪康城 ,3室1厅,东南,低楼层(共34层),简装,92.7平米,115,"12,406元/平",2017年建,板塔结合
